Start Date,End Date,Duration(Days),Main Cause,Districts,State,Human fatality,Human injured,Human Displaced,Description of Casualties/injured,Extent of damage 
30-07-2016 00:00,31-07-2016 00:00,2,heavy rains,Mumbai,Maharashtra,1,4,,One person died as tree fell on him & 4 others injured.,i) Damage to Ground-plus-three structure building & security cabin reported ii) A car & an auto-rickshaw damaged as tree fell on it.
01-08-2016 00:00,01-08-2016 00:00,1,heavy rains,Thane,Maharashtra,9,10,,9 persons died & 10 others injured.,i) Dilapidated building collapsed. ii) Water logging in low lying areas reported.
02-08-2016 00:00,02-08-2016 00:00,1,flood in godavari,Nashik,Maharashtra,,5,,5 persons drowned.,
03-08-2016 00:00,03-08-2016 00:00,1,flood in savitri river,Raigarh,Maharashtra,,41,,27 persons drowned & 14 others missing.,2 MSRTC (Maharashtra State Road transport Corporation) buses & several other vehicles washed away as a bridge on the Savitri River collapsed near Mahad in Raigarh district of Maharashtra on Mumbai - Goa highway on 2nd August at late night.
24-09-2016 00:00,26-09-2016 00:00,3,heavy rain & flash flood,Parts of Maharashtra,Maharashtra,2,,,2 persons died.,
02-10-2016 00:00,04-10-2016 00:00,3,heavy rain & flash flood,"Beed, Latur, Dharashiv",Maharashtra,,5,,5 persons drown & 36 animals perished.,"About 50% of the Kharif crops viz. Soya bean, Cotton, tur,Jowar were damaged. Soya bean, which is one of the major crops of Marathwada, suffered a damage of about Rs.2500 crores over an area of about 15 lakh hectares."
05-03-2017 00:00,05-03-2017 00:00,1,Heavy Rains,"Kolhapur, Dharashiv, Sangli",Maharashtra,1,3,,One person died & 3 persons injured due to wall collapsed in Bhoom taluka Osmanabad Dist. while 20 cattleheads perished in Sangali district.,i) Damage to Mango trees reported. ii) Loss of Rs.17 Lakhs reported. iii) More than 10 houses damaged
24-06-2017 00:00,24-06-2017 00:00,1,Heavy Rains,Thane,Maharashtra,2,2,,2 persons died & 2 others injured.,
26-06-2017 00:00,26-06-2017 00:00,1,Heavy Rains,Mumbai,Maharashtra,,2,,2 women injured due to wall collapsed in Mulund (W),i) Damage to houses reported. ii) 48 trees uprooted.
16-07-2017 00:00,16-07-2017 00:00,1,Heavy Rains,Gondia,Maharashtra,1,,,One person swept away.,i) Damage to many houses reported. ii) People were shifted to safer places.
17-07-2017 00:00,17-07-2017 00:00,1,Flood in Bhav river,Ratnagiri,Maharashtra,1,,,One farmer washed away in Devrukh in the tehsil of Sangameshwar.,
18-07-2017 00:00,18-07-2017 00:00,1,Heavy rains & Floods,Pune,Maharashtra,1,,,One person washed away in Khadkwasala.,
19-07-2017 00:00,19-07-2017 00:00,1,Heavy Rains,"Gadchiroli, Nagpur",Maharashtra,1,,,One person swept away in Gadchiroli Dist.,i) 275 houses inundated. ii) Damage to infra structure i.e. bridges etc. reported. iii) Damage to vehicles reported. iv) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.
08-09-2017 00:00,08-10-2017 00:00,2,Heavy Rains,"Bhandara, Nagpur",Maharashtra,,,,,i) Many areas submerged. ii) Roofs of many houses blown away. iii) Damage to vehicles reported. iv) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.
20-08-2017 00:00,20-08-2017 00:00,1,Heavy Rains,"Beed, Nanded, Parbhani",Maharashtra,5,,,"5 persons died. Beed - 1, Nanded - 1, Parbhani �������� 3.",
21-08-2017 00:00,21-08-2017 00:00,1,Landslide,Pune,Maharashtra,3,,,3 persons injured,Landslide on Hubali Express train near Lonawala reported.
29-08-2017 00:00,29-08-2017 00:00,1,Heavy Rains,Thane,Maharashtra,2,,,2 persons washed away.,"Rail, air,road transport affected in Mumbai"
30-08-2017 00:00,30-08-2017 00:00,1,Heavy Rains,"Palghar, Thane, Mumbai",Maharashtra,15,,,"Total 15 persons died. Palghar �������� 5, Thane �������� 3, Mumbai - 7",
02-12-2018 00:00,02-12-2018 00:00,1,Floods & Heavy rains,"Nagpur, Yavatmal",Maharashtra,,,,,"i) Damage to Wheat, Gram crops reported. ii) Damage to Mango trees at flowering stage reported."
15-04-2018 00:00,15-04-2018 00:00,1,Heavy rains,"Latur, Dharashiv",Maharashtra,,,,,i) Extensive damage to crops reported. ii) Damage to many houses reported.
27-05-2018 00:00,27-05-2018 00:00,1,Heavy rains,Pune,Maharashtra,1,5,,"One person died in Baramati, taluka. While, 5 others injured from Baramati & Indapur Taluka","i) Damage to Banana, Pomegranate & other crops reported. ii) Damage to houses reported."
06-01-2018 00:00,06-02-2018 00:00,2,Heavy rains,"Nashik, Pune",Maharashtra,,,,,"i) Damage to crops including Tomato, Mango &Grapes reported. ii) Damage to houses reported. iii) Damage to vehicles reported."
06-06-2018 00:00,06-06-2018 00:00,1,Heavy rains,Pune,Maharashtra,1,,,One person died due to tree collapsed,i) Damage to more than 7 vehicles including rickshaw reported. ii) Several trees uprooted causing disruption in vehicular traffic.
06-10-2018 00:00,06-10-2018 00:00,1,Heavy rains,Thane,Maharashtra,5,,,Total 5 persons died including a woman & a child.,
06-11-2018 00:00,06-11-2018 00:00,1,Floods & Heavy rains,Nagpur,Maharashtra,,,,,i) Damage to several acers of cropland reported. ii) Some small bridges submerged. iii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.
25-06-2018 00:00,25-06-2018 00:00,1,Heavy rains,"Mumbai, Mumbai Suburban, Palghar, Raigarh, Sindhudurg, Thane",Maharashtra,8,,,8 people died including one girl who washed away from Sindhudurg Dist.,"i) Damage to more than 10 vehicles reported. ii) Damage to building, roads reported."
07-03-2018 00:00,07-03-2018 00:00,1,Floods & Heavy rains,Mumbai,Maharashtra,1,5,,One youth washed away from Bandra & 5 others injured due to part of Ghokhale bridge collapsed in Andheri.,i) Damage to Ghokhale bridge reported. ii) Rail & Air services disrupted. Flight cancelled.
07-07-2018 00:00,07-07-2018 00:00,1,Floods & Heavy rains,Nagpur,Maharashtra,4,,,"4 persons died,other injured","i) 450 students rescued,shifted to safer places. ii) Air,Rail traffic disrupted."
07-08-2018 00:00,07-08-2018 00:00,1,Floods & Heavy rains,"Chandrapur, Nagpur, Wardha",Maharashtra,3,2,,"Total 3 persons died. Chandrapur - 1, Nagpur �������� 2. While, 2 others injured. 7 livestock pershied in Wardha Dist.",Around 3700 families shifted to safer places
07-10-2018 00:00,07-10-2018 00:00,1,Floods & Heavy rains,"Amravati, Mumbai",Maharashtra,1,,,"One person died in Amravati, Dist.","i) Damage to Standing crops reported. ii) Damage to 35 houses partially,40 houses completely reported. iii) Water logging in Mumbai."
07-11-2018 00:00,07-11-2018 00:00,1,Floods & Heavy rains,Yavatmal,Maharashtra,4,,,4 persons washed away,
21-07-2018 00:00,21-07-2018 00:00,1,Floods & Heavy rains,Bhandara,Maharashtra,,,,,Damage to thousands acres of standing Paddy crops reported.
17-08-2018 00:00,18-08-2018 00:00,2,Floods & Heavy rains,"Akola, Buldhana, Nandurbar, Pune, Washim, Yavatmal",Maharashtra,5,,,"Total 5 persons including 3 women & 2 men died. 57 animals perished from Navapur taluka, Nandurbar Dist. On 17th August.",i) Extensive damage to thousands hectares of crops reported. ii) Damage to canal reported from Nandurbar Dist. iii) Damage to more than 4400 houses reported.
19-08-2018 00:00,19-08-2018 00:00,1,Heavy rains & Floods (Mutha river),Pune,Maharashtra,1,,,One youth washed away with his bike in Mutha river near Khadkawasala Dam,Damage to vhicle reported
20-08-2018 00:00,21-08-2018 00:00,2,,"Akola, Amravati, Aurangabad, Beed, Bhandara, Buldhana, Chandrapur, Gadchiroli, Gondia, Hingoli, Jalgaon, Jalna, Latur, Nagpur, Nashik, Nanded, Dharashiv, Parbhani, Wardha, Washim, Yavatmal",Maharashtra,11,4,,"Total 11 persons died. Of which, Bhandara �������� 3 from one family, Nagpur- one boy washed away, Nanded �������� 4 persons washed away.,remaining 3 died from rest of the districts of Marathawada..While, 4 persons injured due to wall collapsed in Yavatmal Dist","i) Damage to bus reported. ii) Damage to houses reported. iii) In Gadachiroli Dist., 300 villages cut of from the rest of the area. Also In Parbhani, 4 villages cut of from the rest of the area."
21-05-2019 00:00,21-05-2019 00:00,1,Heavy rains,Solapur,Maharashtra,1,,,One girl died due to wall collapsed. 10 livestock perished.,Damage to 103 houses reported
07-01-2019 00:00,07-01-2019 00:00,1,Heavy rains,"Mumbai, Nashik, Palghar, Pune",Maharashtra,12,3,,"Total 12 persons died & 3 others injured. Viz. Mumbai - One electrocuted at Nehru Nagar in Vile Parle. Nashik - 3, Palghar �������� 2 in Jawahar city, Pune - 6 labourers died & 3 others injured due to wall collapsed in Ambegaon area.",
07-02-2019 00:00,07-02-2019 00:00,1,"Heavy rains , Incessant rains leading to flood-like situation."," Mumbai,Thane,Ratnagiri",Maharashtra,45,4,,Total 23 persons died. Mumbai - 21 persons died & more than 50 others injured due to wall collapsed in Mumbai's \ northern suburb of Malad & 2 other died in another incident in Malad. 3 persons died due to wall collapse in Kalyan. At least 19 persons died & 4 others missing from Bhendewadi village of Chiplun block,"i) A wall collapsed on hutments in Pimpripada area of Malad East. ii) About 1,000 people shifted to temporary shelters by joint evacuation operation in suburban Kurla with the NDRF, Navy,fire brigade shifting. iii) Many parts of the financial capital Mumbai waterlogged. iv) Rail, Air,Road traffic disrupted with several trains,flights cancelled. Altogether 54 flights diverted,52 cancelled at Mumbai's Chhatrapati Shivaji Maharaj International Airport, where a SpiceJet plane overshot the runway.  The wall of an Urdu school behind Durgai Fort collapsed near the hutments adjacent in Kalyan.  i) Tiware Dam in Chiplun block of Ratnagiri District in the Vashishthi Basin of coastal Maharashtra breached. ii) At least 7 villages including Bhendewadi, Ovali, Riktoli, Aakle, Daadar, Nandivase, Kalkavne, with about 3000 population badly affected. iii) Several houses including at least 12 houses & 20 vehicles from Bhendewadi village near the dam washed away. iv) NDRF teams, Additional rescue teams consisting of government officials, police,volunteers carrying out search,rescue operations."
07-07-2019 00:00,07-07-2019 00:00,1,Heavy Rains,Palghar,Maharashtra,,,,,i) Damage to 2 taxis reported. ii) State electric consumption dropped. iii) Trees uprooted.
28-07-2019 00:00,28-07-2019 00:00,1,Heavy Rains & Flood,"Palghar, Thane",Maharashtra,5,,,"5 persons died in Thane Dist. 23 livestock perished at Kedia farm, Ulhasnagar taluka of Thane Dist.","i) Kalyan, Bhivandi, Murbad, Badlapur, Diva area of Thane Dist. & Girgaon area of Palghar Dist. more affected. ii) Bridge in Murbad washed away. iii) Damage to building at Girgaon area of Palghar Dist. reported. iv) Train service disrupted. v) Water logging at many places. vi) People rescued by using boats at Diva, Badlapur area & by using helicopter at Kalyan area."
31-07-2019 00:00,31-07-2019 00:00,1,Heavy Rains & Flood,Thane,Maharashtra,1,,,"One person died at Kamba, near Kalyan.","50, 000 residents in the low-lying area near Ulhas river in Badlapur affected."
08-01-2019 00:00,08-01-2019 00:00,1,Heavy Rains,Buldhana,Maharashtra,,,,,"i) Damage to crops, fruits reported. ii) Several trees uprooted"
08-02-2019 00:00,08-02-2019 00:00,1,Heavy Rains,Mumbai,Maharashtra,1,,,One person died.,A tree uprooted & fell on a wall in Chandivli.
08-03-2019 00:00,08-03-2019 00:00,1,Heavy Rains & Flood,"Mumbai, Palghar",Maharashtra,5,,,"Total 5 persons died. Mumbai �������� 4 girls washed away at Pandavakada Waterfalls at Khargahr Palghar �������� 1 person washed away in Tiwas river. While, 4 livestock perished.",
08-04-2019 00:00,08-04-2019 00:00,1,Heavy Rains & Flood,"Nashik, Thane",Maharashtra,5,,,5 persons washed away in Godavari river Nashik.,"i) About 21 villages of Thane Dist. badly affected. ii) More than 1,100 residents of Kamba village near Kalyan, Thane Dist. shifted to safer places. iii) Extensive damage to valuables including documents reported."
08-05-2019 00:00,08-05-2019 00:00,1,Heavy Rains & Flood,Palghar,Maharashtra,2,,,2 persons washed away at Vikramgad,
08-07-2019 00:00,08-08-2019 00:00,2,Heavy Rains & Flood,"Kolhapur, Pune, Sangli, Satara",Maharashtra,22,,4,"Total 22 persons died & 4 others missing. Kolhapur - 2,Pune �������� 4 died, Sangali �������� 9 died & 4 missing. Satara �������� 7 died.","i) A private rescue boat carrying around 30 to 32 people affected by floods to a safer place overturned near Brahmanal village located on the banks of the Krishna river in Palus tehsil in flood-hit district Sangli. ii) Around 1.32 lakh flood-affected people shifted to safer places. iii) Kolhapur & Sangli districts worst affected. iv) Many roads including National Highways completely cut-off from the rest parts of the country. v) 139-villages in western Maharashtra marooned. vi) Altogether rescue teams including NDRF, Navy, Coast Guard, Army column, SDRF worked."
08-09-2019 00:00,08-09-2019 00:00,1,Heavy Rains & Flood,"Akola, Gadchiroli",Maharashtra,4,,,"2 persons washed away at Telhara in pohra nala,Vidrupa river in different incidences. 2 persons washed away in different incidents from Appali & Medapalli villages.",
09-01-2019 00:00,09-01-2019 00:00,1,Heavy Rains & Flood,Nanded,Maharashtra,2,,,2 persons died.,
09-04-2019 00:00,09-04-2019 00:00,1,Heavy Rains & Flood,"Chandrapur, Wardha",Maharashtra,5,,,"Total 5 persons died. Chandrapur- 1 five year boy died due to wall collapsed in Brahmpuri, Wardha �������� 4 persons washed away in Hinganghat.",i) Damage to crops reported. ii) Damage to houses reported.
09-05-2019 00:00,09-05-2019 00:00,1,Heavy Rains & Flood,Mumbai,Maharashtra,4,,,4 persons died & other missing.,"Around 1300 people from Kurla west evacuated with the help of Navy,NDRF personnel."
09-06-2019 00:00,09-06-2019 00:00,1,Heavy Rains & Flood,Mumbai,Maharashtra,1,,,One person washed away.,
09-10-2019 00:00,09-10-2019 00:00,1,Heavy Rains & Flood,Kolhapur,Maharashtra,,,,,"i) Cropland of area 81,000 hectares badly affected. ii) Damage to about Rs.1298.51/- crore reported. iii) Many people shifted to safer places."
23-09-2019 00:00,23-09-2019 00:00,1,Heavy Rains & Flood,Akola,Maharashtra,1,,,One woman died in Amboz village,i) Damage to crops reported. ii) Damage to houses reported.
24-09-2019 00:00,24-09-2019 00:00,1,Heavy Rains & Flood,"Wardha, Yavatmal",Maharashtra,2,,,"Total 2 persons died. Wardha �������� 1 farmer died in Talegaon, Yavatmal �������� 1 youth died.",i) Damage to crops reported. ii) Damage to houses reported.
25-09-2019 00:00,25-09-2019 00:00,1,Heavy Rains & Flood,"Nashik, Pune, Solapur",Maharashtra,4,,,"Nashik, Pune, Solapur",
26-09-2019 00:00,26-09-2019 00:00,1,Heavy Rains & Flood,"Pune,Nashik",Maharashtra,20,,,17 persons died.  3 persons died.,Wall collapsed.
10-09-2019 00:00,10-09-2019 00:00,1,Heavy Rains & Flood,"Pune, Thane",Maharashtra,3,,,"Total 3 persons died. Pune - one 54 year old van driver died, Thane �������� 2.",i) Damage to a vehicle reported. ii) Trees uprooted
10-01-2019 00:00,31-10-2019 00:00,31,Heavy Rains & Flood,"Amravati, Akola, Bhandara, Buldhana, Chandrapur, Gadchiroli, Gondia, Nagpur, Wardha, Washim,Yavatmal",Maharashtra,,,,,"Damage to Soyabean, Mug, Cotton crops reported."
02-03-2020 00:00,02-03-2020 00:00,1,Heavy Rains,"Beed, Hingoli, Nanded, Parbhani",Maharashtra,,,,,"Damage to rabbi crops including Gram, Tur, Wheat, Jawar, fruits & vegetables reported."
03-01-2020 00:00,03-01-2020 00:00,1,Heavy Rains,"Ahmednagar, Aurangabad, Jalna, Jalgaon, Nashik, Dharashiv, Pune, Satara, Solapur, Washim",Maharashtra,,,,,"i) Damage to rabbi crops including Wheat, Jawari, Gram, Corn,Onion crops reported. ii) Trees uprooted causing disruption in traffic."
05-10-2020 00:00,05-10-2020 00:00,1,Heavy Rains,"Bhandara, Gadchiroli, Gondia",Maharashtra,,,,,i) Extensive damage to crop grains kept in the center of Development Corporation reported. ii) Damage to carores of rupees reported.
18-06-2020 00:00,18-06-2020 00:00,1,Heavy Rains,Mumbai,Maharashtra,1,,,One person died.,
28-06-2020 00:00,28-06-2020 00:00,1,Heavy Rains,Dhule,Maharashtra,,,,,i) Damage to about 150 acres of cropland reported. ii) Damage to 5 houses reported
07-03-2020 00:00,07-04-2020 00:00,2,Heavy Rains,"Nagpur, Washim",Maharashtra,,,,,Damage to crops including Cotton reported.
14-07-2020 00:00,16-07-2020 00:00,3,Heavy Rains,"Buldhana, Nagpur, Washim",Maharashtra,,,,,Extensive damage to crops reported
16-07-2020 00:00,16-07-2020 00:00,1,Heavy Rains,Mumbai,Maharashtra,4,6,,4 persons died & 6 others injured due to wall collapsed in Fort & Malawanai area.,Damaage to 2 hundred year old MHADA SES building reported.
20-07-2020 00:00,20-07-2020 00:00,1,Landslide,Pune,Maharashtra,,1,,One Excise Govt. Officer injured in Malshej Ghat,Damage to vehicle reported.
20-07-2020 00:00,22-07-2020 00:00,3,Heavy Rains,"Buldhana, Washim",Maharashtra,,,,,Extensive damage to crops reported
24-07-2020 00:00,28-07-2020 00:00,2,Heavy Rains,Washim,Maharashtra,,,,,Extensive damage to crops reported.
08-04-2020 00:00,08-06-2020 00:00,3,Heavy Rains & Landslide,"Kolhapur, Mumbai, Nagpur, Palghar, Pune, Raigarh, Ratnagiri, Sindhudurg, Thane",Maharashtra,2,,,"Total 2 persons died on 4th. Ratnagiri - One woman died due to tree collapsed in Rajapur, Thane - One 15 year old boy died. While 3 cowes perished in Kalyan area of Mumbai.","i) Damage to crops reported in Nagpur dist. i) Damage to structures, houses, roads reported. ii) Speed boat drowned in Varsova, Mumbai. iii) Damage to many vehicles reported. iv) Roof of D.Y.Patil stadium blown away in Mumbai. v) Normal life paralysed. vi) In Kolhapur , People shifted to safer places. vii) Rail traffic disrupted due to Landslide at Kandiwali, Mumbai. viii) Roads from Radhanagari, Gaganbawada, Panhala towards Konkan were blocked. Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply."
14-08-2020 00:00,15-08-2020 00:00,2,Heavy Rains ,"Nagpur, Washim",Maharashtra,,,,,i) Damage to Soyabean & other crops reported. ii) Water entered in many houses.
18-08-2020 00:00,21-08-2020 00:00,2,Heavy Rains ,Washim,Maharashtra,,,,,"Damage to Soyabean, Tur, Mug, Udad, Cotton crops reported"
24-08-2020 00:00,27-08-2020 00:00,4,Heavy Rains ,"Nagpur, Washim",Maharashtra,,,,,"Damage to Soyabean, Tur, Mug, Udad, Cotton, flowers & other crops reported."
29-08-2020 00:00,31-08-2020 00:00,3,Heavy Rains & Floods,"Bhandara, Chandrapur, Gadchiroli, Nagpur, Washim",Maharashtra,1,,,One 60 year old person died at Devalparata Ramtek of Nagpur district on 30th due to wall collapsed,"i) Damage to Soyabean, Tur, Mug, Udad, Cotton, & other crops reported. ii) Damage to many houses reported. iii) More than 53,000 people from 175 villages including 76 villages in Bhandara district, 61 in Nagpur, 22 in Chandrapur & 16 in Gadchiroli districts in Vidarbha region evacuated. iv) More than 92, 000 people affected from Bhandara, Chandrapur, Gadchiroli, Nagpur districts of vidarbha. v) Two teams of the Army deployed in Pombhurna tehsil,Ladaj village of Brahmapuri tehsil of Chandrapur."
09-01-2020 00:00,09-01-2020 00:00,1,Heavy Rains,Nagpur,Maharashtra,,,,,"i) Narkhed, Khui, Kamathi, Savanerji tehsils affected. ii) Damage to crops reported. iii) Damage to many houses reported."
09-03-2020 00:00,09-07-2020 00:00,5,Heavy Rains,"Buldhana, Nagpur, Washim",Maharashtra,,,,,"i) Damage to Soyabean, Tur, Mug, Udad, Cotton, Sugarcane, Banana, Papaya & other crops reported. ii) Damage to many houses reported. iii) Damage to a well reported. iv) Several trees uprooted."
09-05-2020 00:00,09-08-2020 00:00,4,Heavy Rains,"Kolhapur, Palghar, Pune, Sangli, Solapur",Maharashtra,,2,,2 persons injured as tree collapsed in Pune on 6th .,"i) Damage to Sugarcane, Rice, Groundnut,Soyabean crops reported. ii) Damage to Shopes, houses reported. iii) Damage to vehicles reported. iv) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply."
09-09-2020 00:00,09-09-2020 00:00,1,Heavy Rains,Buldhana,Maharashtra,,,,,"Damage to Mug, Udad, Cotton & other crops reported."
09-11-2020 00:00,17-09-2020 00:00,7,Heavy Rains,"Buldhana, Nagpur, Washim",Maharashtra,,,,,"i) Damage to Soyabean, Tur, Mug, Udad, Cotton, Sugarcane, vegetable crops & other crops reported. ii) Damage to many houses reported. iii) 5 villages of Buldana cut off from the rest of the area. iv) Damage to a well reported."
15-09-2020 00:00,15-09-2020 00:00,1,Heavy Rains,Nanded,Maharashtra,,,,,"i) Damage to Cotton, Jawar, Soyabean, Urad, Tur & fruit crops reported. ii) Hundreds of acres of land under water"
19-09-2020 00:00,24-09-2020 00:00,6,Heavy Rains & Floods,"Ahmednagar, Aurangabad, Beed, Buldhana, Hingoli, Jalna, Latur, Nagpur, Nashik, Nanded, Dharashiv, Parbhani, Pune, Sindhudurg, Solapur, Washim",Maharashtra,10,,,"Total 10 persons died. Buldana �������� 4 persons washed away on 21st, Jalna - 2 persons washed away in Soyagaon village of Bhokhardhan tehsil on 19th, Washim �������� 4 persons washed away in Mangrulpir tehsil on 24th","i) Extensive damage to Soyabean, Jawar, Millet, Corn, Rice, Termeric, Onion, Tur, Mug, Udad, Cotton, Sugarcane, Grapes, Banana, Betel nut & vegetable crops reported. ii) Damage to many houses, compound wall & vehicles reported. iii) Traffic disrupted on National Highways also."
22-09-2020 00:00,22-09-2020 00:00,1,Heavy Rains,Thane,Maharashtra,1,,,One person swept away.,
26-09-2020 00:00,26-09-2020 00:00,1,Heavy Rains,"Gadchiroli, Nagpur",Maharashtra,,,,,Damage to Soyabean & paddy crops reported.
28-09-2020 00:00,29-09-2020 00:00,2,Heavy Rains,"Gadchiroli, Nagpur",Maharashtra,,,,,Damage to paddy crops reported.
10-02-2020 00:00,10-02-2020 00:00,1,Heavy Rains,Washim,Maharashtra,,,,,Damage to Soyabean & Cotton crops reported.
10-07-2020 00:00,10-09-2020 00:00,3,Heavy Rains,Nagpur,Maharashtra,,,,,"Damage to Soyabean, Paddy, Cotton crops reported."
10-10-2020 00:00,10-12-2020 00:00,2,Heavy Rains,"Akola, Aurangabad, Beed, Hingoli, Jalna, Kolhapur, Nanded, Nashik, Parbhani, Palghar, Pune, Raigarh, Ratnagiri, Sangli, Sindhudurg, Thane, Dharashiv",Maharashtra,1,,,One seven-year-old boy died in Kolhapur Dist. on 12th,"Damage to Rice, Soyabean, Cotton, Tur, Millet, Corn Onion, Tomato, Sugarcane, Corn including fruit crops like Grapes & vegetable crops reported."
10-10-2020 00:00,15-10-2020 00:00,6,Heavy Rains,"Buldhana, Nagpur, Washim",Maharashtra,,,,,"i) Extensive damage to Jawar, Paddy, Soyabean, Udad, Mug, Cotton, Sugarcane & vegetable crops reported. ii) Damage to houses reported."
14-10-2020 00:00,14-10-2020 00:00,1,Heavy rains & Floods,"Beed, Hingoli, Kolhapur, Latur, Dharashiv, Pune, Ratnagiri, Sangli, Satara, Sindhudurg, Solapur, Yavatmal",Maharashtra,7,,,"Total 7 persons died. Solapur - 6 persons died due to wall collapsed in Pandharpur, Yavatmal - One woman washed away in Sahatrakund waterfall.","i) Damage to Rice, Sugarcane, Onion, Soyabean, Turmeric, Grapes, Pomegranates crops reported. ii) About 4000 farmers affected. iii) Damage to houses, huts & shops reported. iv) Damage to a Ghat wall in Pandharpur reported. v) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply."
15-10-2020 00:00,15-10-2020 00:00,1,Heavy rains & Floods,"Ahmednagar, Beed, Kolhapur, Latur, Dharashiv, Pune, Ratnagiri, Sangli, Satara, Solapur",Maharashtra,,,,,"i) Extensive damage to Kharif crops including Soyabean, Onion, Rice, Millet, Cotton, vegetable & fruit crops reported. ii) Damage to about 1.25 lakhs hectares of rice cropland in Konkan region reported. iii) Damage to 28,335 hectares of cropland from 183 villages of only Solapur Dist. reported. iv) Damage to house, many vehicles reported. v) Rain water entered in Chandannagar Police station. vi) Damage to roads reported. vii) Many bridges & roads closed for traffic. viii) Electricity supply disrupted. Several trees uprooted."
15-10-2020 00:00,15-10-2020 00:00,1,Heavy rains & Floods,Solapur,Maharashtra,3,,,3 persons washed away with car in Karmala Tehsil,Damage to car reported
